source_id,category,title,url,version_or_commit,accessed_at,license,evidence_level,module,adoption_status,notes
OFFICIAL-001,competition,Biendata JCIIOT competition page,https://www.biendata.net/competition/jciiot/,live-page,2026-07-22,N/A,primary-official,rules,monitor,"Dynamic rule body was supplied by the user and preserved in a dated local snapshot."
OFFICIAL-002,competition,JCIIOT event announcement,https://hub.baai.ac.cn/view/56351,2026-07-15,2026-07-22,N/A,primary-organizer-announcement,schedule,adopt,"Dates, awards, QQ group, GLM quota and livestream notice."
OFFICIAL-003,competition-code,JCIIOT2026 official repository,https://github.com/JCIIOT2026/JCIIOT2026,f4ab8fd2158b919a41b2ce350432259cd1ee6a11,2026-07-22,SEE-REPOSITORY,primary-code,all,pinned-baseline,"Authoritative baseline, scenes, scorer, SOP and task configuration."
OFFICIAL-004,competition-doc,JCIIOT contestant README,https://github.com/JCIIOT2026/JCIIOT2026/blob/f4ab8fd2158b919a41b2ce350432259cd1ee6a11/JCIIOT/README.md,f4ab8fd2158b919a41b2ce350432259cd1ee6a11,2026-07-22,SEE-REPOSITORY,primary-official,submission-boundary,adopt,"Defines allowed directories, SOP originality and training workflow."
OFFICIAL-005,competition-doc,JCIIOT erratum,https://github.com/JCIIOT2026/JCIIOT2026/blob/f4ab8fd2158b919a41b2ce350432259cd1ee6a11/ERRATUM.md,f4ab8fd2158b919a41b2ce350432259cd1ee6a11,2026-07-22,SEE-REPOSITORY,primary-official,sop,adopt,"Corrects Case 2 and Case 3 wording."
OFFICIAL-006,competition-media,JCIIOT technical livestream,https://www.bilibili.com/video/BV1uiK86QEWL/,2026-07-22,2026-07-22,N/A,primary-organizer-media,all,pending-review,"No public transcript was available during the first research pass."
MODEL-001,model-doc,GLM-5V-Turbo documentation,https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5v-turbo,live-doc,2026-07-22,service-terms,primary-vendor-doc,sop,adopt-candidate,"Competition provides quota; online evaluation availability still requires confirmation."
REPO-001,code,robomimic,https://github.com/ARISE-Initiative/robomimic,e10526b9a40c78b41f1e37e60041dc0ec0a5f60f,2026-07-22,MIT,primary-code,grasp,adopt-candidate,"Official baseline already embeds robomimic; upstream adds BC-RNN, Transformer, Diffusion Policy and multi-dataset training."
REPO-002,code,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,b38c510e083d69a5755d98d0680bd50f3d9a91fa,2026-07-22,MIT-LICENSE-FILE,primary-code,navigation,adopt-candidate,"Reference implementations for A*, Theta*, D* Lite, splines and trajectory generation."
REPO-003,code,py_trees,https://github.com/splintered-reality/py_trees,48d0f7afe23dc67d591003740667cacb4c164937,2026-07-22,BSD-3-Clause,primary-code,orchestration,adopt-candidate,"Python behavior trees, blackboards, sequences, selectors and decorators."
REPO-004,code,multimodal-bt-generation,https://github.com/cristianobattistini/multimodal-bt-generation,49969844dfd930a57280b0a0ae8174b377ba2b47,2026-07-22,MIT,primary-code,sop-and-orchestration,research-only,"Actual datasets and OmniGibson integration; reuse schema and grounding ideas rather than simulator stack."
REPO-005,code,KIOS,https://github.com/ProNeverFake/kios,e9f16f5bd110ab647242077d55d5cb0a71e4fcd9,2026-07-22,MIT,primary-code,orchestration-and-recovery,research-only,"World state, behavior-tree JSON, preconditions/effects and plan repair; full dependency stack is excessive."
REPO-006,code,MimicLabs,https://github.com/GaTech-RL2/mimiclabs,0b81d7e8cc077de3a6da4cd02ffe6c605c793d9a,2026-07-22,MIT,primary-code,data,research-only,"Useful robosuite collection and dataset pipeline; dependency chain includes MimicGen."
REPO-007,code,CP-Gen,https://github.com/kevin-thankyou-lin/cpgen,1e7c1fc4a467c7678c8542ca762e332d1757d8d5,2026-07-22,MIT,primary-code,data,research-only,"Constraint-preserving augmentation; depends on MimicGen, cuRobo and custom robosuite environments."
